;;;;;;Variação do Volume Médio Mensal - VMDm;;;;;;;
UF;BR;Km;Ano;Latitude;Longitude
GO;020;13,6;2024;-15,568575;-47,234911
;;;;;;Classes PNCT;;;;;;;
Mês;Sentido;Nº Dias;VMDm;(A) Ônibus/Caminhão de 2 eixos;(B) Ônibus/Caminhão de 3 eixos;(C) Caminhão de 4 eixos;(D) Caminhão de 5 eixos;(E) Caminhão de 6 eixos;(F) Caminhão de 7 eixos;(G) Caminhão de 8 eixos;(H) Caminhão de 9 eixos;(I) Passeio;(J) Motocicleta;(L) Indefinido
;C;28;5038;528;270;112;69;181;50;1;106;3580;51;90
;D;28;6234;479;283;161;80;175;53;1;70;4760;69;103
Janeiro;Total;28;11272;1007;553;273;149;356;103;2;176;8340;120;193
;C;24;4672;515;278;128;76;212;56;1;123;3128;53;102
;D;24;5009;449;287;194;92;188;62;2;70;3503;67;95
Fevereiro;Total;24;9681;964;565;322;168;400;118;3;193;6631;120;197
;C;31;4670;484;255;136;86;230;67;1;143;3101;54;113
;D;31;4654;423;271;192;93;206;73;2;80;3151;65;98
Março;Total;31;9324;907;526;328;179;436;140;3;223;6252;119;211
;C;28;4518;487;265;139;87;212;57;1;123;2979;59;109
;D;28;4713;442;279;184;88;209;79;2;92;3161;71;106
Abril;Total;28;9231;929;544;323;175;421;136;3;215;6140;130;215
;C;28;4808;497;261;136;91;207;57;1;133;3237;68;120
;D;28;4861;443;284;185;84;215;72;2;82;3294;81;119
Maio;Total;28;9669;940;545;321;175;422;129;3;215;6531;149;239
;C;30;4894;504;269;150;92;209;61;2;137;3279;71;120
;D;30;4926;448;280;186;91;221;75;2;82;3334;85;122
Junho;Total;30;9820;952;549;336;183;430;136;4;219;6613;156;242
;C;25;5668;607;303;172;92;219;69;2;153;3828;83;140
;D;25;5737;485;309;189;88;248;88;2;86;4000;100;142
Julho;Total;25;11405;1092;612;361;180;467;157;4;239;7828;183;282
;C;31;4936;479;282;173;101;233;83;1;166;3220;71;127
;D;31;5052;398;298;189;91;264;105;2;108;3379;87;131
Agosto;Total;31;9988;877;580;362;192;497;188;3;274;6599;158;258
;C;29;5134;284;291;176;107;240;126;2;167;3568;78;95
;D;29;5101;294;293;198;93;270;146;3;120;3492;93;99
Setembro;Total;29;10235;578;584;374;200;510;272;5;287;7060;171;194
;C;29;5460;301;312;180;109;253;125;2;144;3871;70;93
;D;29;5431;312;312;202;97;266;132;2;102;3829;84;93
Outubro;Total;29;10891;613;624;382;206;519;257;4;246;7700;154;186
;C;30;4799;270;270;152;100;229;97;2;111;3429;59;80
;D;30;4857;275;286;194;91;223;107;2;94;3427;75;83
Novembro;Total;30;9656;545;556;346;191;452;204;4;205;6856;134;163
;C;23;6953;286;301;156;97;227;92;2;114;5497;75;106
;D;23;5529;273;306;209;97;222;104;2;91;4046;83;96
Dezembro;Total;23;12482;559;607;365;194;449;196;4;205;9543;158;202
